name,datetime_utc,latitude_deg,longitude_deg,altitude_km
GSAT0101 (GALILEO-PFM),2025-10-16 09:22:22.045330,-12.899398567469483,174.13382572625594,23223.016993030044
GSAT0101 (GALILEO-PFM),2025-10-16 09:32:22.045330,-9.346494153725343,174.03368412171216,23222.27692968907
GSAT0101 (GALILEO-PFM),2025-10-16 09:42:22.045330,-5.777449603087813,173.8849287283113,23221.688628695778
GSAT0101 (GALILEO-PFM),2025-10-16 09:52:22.045330,-2.198616380294814,173.70668741201206,23221.260884609314
GSAT0101 (GALILEO-PFM),2025-10-16 10:02:22.045330,1.3839369695781718,173.51735759204382,23220.99902182832
GSAT0101 (GALILEO-PFM),2025-10-16 10:12:22.045330,4.964246883444718,173.3350630248901,23220.904799466287
GSAT0101 (GALILEO-PFM),2025-10-16 10:22:22.045330,8.536282347540014,173.17810210297742,23220.976394333393
GSAT0101 (GALILEO-PFM),2025-10-16 10:32:22.045330,12.093768953557227,173.06540164645264,23221.208462300576
GSAT0101 (GALILEO-PFM),2025-10-16 10:42:22.045330,15.63000022611114,173.01698989666707,23221.592276603227
GSAT0101 (GALILEO-PFM),2025-10-16 10:52:22.045330,19.137626296428238,173.05450124673607,23222.11593995446
GSAT0101 (GALILEO-PFM),2025-10-16 11:02:22.045330,22.608408816927966,173.201722447401,23222.76466571683
GSAT0101 (GALILEO-PFM),2025-10-16 11:12:22.045330,26.03292946163562,173.48518412774507,23223.521121863454
GSAT0101 (GALILEO-PFM),2025-10-16 11:22:22.045330,29.40023770228496,173.9347898209223,23224.36583007583
GSAT0101 (GALILEO-PFM),2025-10-16 11:32:22.045330,32.69742239139614,174.5844528016963,23225.27761110776
GSAT0101 (GALILEO-PFM),2025-10-16 11:42:22.045330,35.90909228164153,175.47267172841876,23226.23406652144
GSAT0101 (GALILEO-PFM),2025-10-16 11:52:22.045330,39.01675542690876,176.64290859817643,23227.212086092186
GSAT0101 (GALILEO-PFM),2025-10-16 12:02:22.045330,41.99810093414215,178.14352284288958,23228.188369605654
GSAT0101 (GALILEO-PFM),2025-10-16 12:12:22.045330,44.826216290129025,-179.97314968820828,23229.13995144682
GSAT0101 (GALILEO-PFM),2025-10-16 12:22:22.045330,47.46883054513666,-177.6532028576033,23230.04471631114
GSAT0101 (GALILEO-PFM),2025-10-16 12:32:22.045330,49.88777052560884,-174.8459027407805,23230.881894561637
GSAT0101 (GALILEO-PFM),2025-10-16 12:42:22.045330,52.03895855331315,-171.51167781730902,23231.63252620274
GSAT0101 (GALILEO-PFM),2025-10-16 12:52:22.045330,53.87343891366674,-167.63382104127294,23232.279883137933
GSAT0101 (GALILEO-PFM),2025-10-16 13:02:22.045330,55.33999974705236,-163.232927668616,23232.809840306807
GSAT0101 (GALILEO-PFM),2025-10-16 13:12:22.045330,56.389768467143796,-158.3804429707479,23233.211187437817
GSAT0101 (GALILEO-PFM),2025-10-16 13:22:22.045330,56.98250446011245,-153.20479942904063,23233.475874481268
GSAT0101 (GALILEO-PFM),2025-10-16 13:32:22.045330,57.09325394557021,-147.88323519992556,23233.5991852725
GSAT0101 (GALILEO-PFM),2025-10-16 13:42:22.045330,56.71716746426937,-142.617327739909,23233.57983558453
GSAT0101 (GALILEO-PFM),2025-10-16 13:52:22.045330,55.87049887640309,-137.59919980392627,23233.41999342591
GSAT0101 (GALILEO-PFM),2025-10-16 14:02:22.045330,54.58733938086387,-132.9814388038772,23233.125221184306
GSAT0101 (GALILEO-PFM),2025-10-16 14:12:22.045330,52.91350172249219,-128.86127795536146,23232.704340969667
GSAT0101 (GALILEO-PFM),2025-10-16 14:22:22.045330,50.89983090227088,-125.28094385010749,23232.169226232407
GSAT0101 (GALILEO-PFM),2025-10-16 14:32:22.045330,48.59674739890158,-122.23877625622404,23231.534524382296
GSAT0101 (GALILEO-PFM),2025-10-16 14:42:22.045330,46.0507510015308,-119.70390304889268,23230.817316676574
GSAT0101 (GALILEO-PFM),2025-10-16 14:52:22.045330,43.302739383096885,-117.62943646146628,23230.036723042995
GSAT0101 (GALILEO-PFM),2025-10-16 15:02:22.045330,40.3876131389035,-115.96214562334325,23229.21346072906
GSAT0101 (GALILEO-PFM),2025-10-16 15:12:22.045330,37.334624861855026,-114.6485675480281,23228.369366688978
GSAT0101 (GALILEO-PFM),2025-10-16 15:22:22.045330,34.16807028108038,-113.6383561901429,23227.526894419054
GSAT0101 (GALILEO-PFM),2025-10-16 15:32:22.045330,30.90807527036896,-112.88578401520047,23226.708596508743
GSAT0101 (GALILEO-PFM),2025-10-16 15:42:22.045330,27.57135012573695,-112.35013234286424,23225.936604478644
GSAT0101 (GALILEO-PFM),2025-10-16 15:52:22.045330,24.17185619691373,-111.99547553464676,23225.232117524327
GSAT0101 (GALILEO-PFM),2025-10-16 16:02:22.045330,20.72137052222956,-111.79017263070297,23224.614911573724
GSAT0101 (GALILEO-PFM),2025-10-16 16:12:22.045330,17.229953845819267,-111.70624649573855,23224.102879602768
GSAT0101 (GALILEO-PFM),2025-10-16 16:22:22.045330,13.706335441298044,-111.7187457882149,23223.7116134527
GSAT0101 (GALILEO-PFM),2025-10-16 16:32:22.045330,10.15823027002113,-111.80513454700987,23223.45403646482
GSAT0101 (GALILEO-PFM),2025-10-16 16:42:22.045330,6.592603425879908,-111.94472549833633,23223.34009512118
GSAT0101 (GALILEO-PFM),2025-10-16 16:52:22.045330,3.0158952830639136,-112.11815759559073,23223.376516572822
GSAT0101 (GALILEO-PFM),2025-10-16 17:02:22.045330,-0.5657808827475478,-112.30691022118303,23223.56663748442
